,set_size,lines,times_repeated,text,book,line
0,2,λυσόμενός τε θύγατρα φέρων τ ἀπερείσι ἄποινα/στέμματ ἔχων ἐν χερσίν ἑκηβόλου Ἀπόλλωνος,2,iliad,1,13
1,2,λυσόμενός τε θύγατρα φέρων τ ἀπερείσι ἄποινα/στέμματ ἔχων ἐν χερσίν ἑκηβόλου Ἀπόλλωνος,2,iliad,1,372
2,2,στέμματ ἔχων ἐν χερσίν ἑκηβόλου Ἀπόλλωνος/χρυσέῳ ἀνά σκήπτρῳ καί λίσσετο πάντας Ἀχαιούς,2,iliad,1,14
3,2,στέμματ ἔχων ἐν χερσίν ἑκηβόλου Ἀπόλλωνος/χρυσέῳ ἀνά σκήπτρῳ καί λίσσετο πάντας Ἀχαιούς,2,iliad,1,373
4,2,χρυσέῳ ἀνά σκήπτρῳ καί λίσσετο πάντας Ἀχαιούς/Ἀτρεΐδα δέ μάλιστα δύω κοσμήτορε λαῶν,2,iliad,1,15
5,2,χρυσέῳ ἀνά σκήπτρῳ καί λίσσετο πάντας Ἀχαιούς/Ἀτρεΐδα δέ μάλιστα δύω κοσμήτορε λαῶν,2,iliad,1,374
6,2,ἔνθ ἄλλοι μέν πάντες ἐπευφήμησαν Ἀχαιοί/αἰδεῖσθαί θ ἱερῆα καί ἀγλαά δέχθαι ἄποινα,2,iliad,1,22
7,2,ἔνθ ἄλλοι μέν πάντες ἐπευφήμησαν Ἀχαιοί/αἰδεῖσθαί θ ἱερῆα καί ἀγλαά δέχθαι ἄποινα,2,iliad,1,376
8,2,αἰδεῖσθαί θ ἱερῆα καί ἀγλαά δέχθαι ἄποινα/ἀλλ οὐκ Ἀτρεΐδῃ Ἀγαμέμνονι ἥνδανε θυμῷ,2,iliad,1,23
9,2,αἰδεῖσθαί θ ἱερῆα καί ἀγλαά δέχθαι ἄποινα/ἀλλ οὐκ Ἀτρεΐδῃ Ἀγαμέμνονι ἥνδανε θυμῷ,2,iliad,1,377
10,2,ἀλλ οὐκ Ἀτρεΐδῃ Ἀγαμέμνονι ἥνδανε θυμῷ/ἀλλά κακῶς ἀφίει κρατερόν δ ἐπί μῦθον ἔτελλε,2,iliad,1,24
11,2,ἀλλ οὐκ Ἀτρεΐδῃ Ἀγαμέμνονι ἥνδανε θυμῷ/ἀλλά κακῶς ἀφίει κρατερόν δ ἐπί μῦθον ἔτελλε,2,iliad,1,378
12,2,γνῷ δέ καί Ἀτρεΐδης εὐρύ κρείων Ἀγαμέμνων/ἥν ἄτην ὅ τ ἄριστον Ἀχαιῶν οὐδέν ἔτισεν,2,iliad,1,411
13,2,γνῷ δέ καί Ἀτρεΐδης εὐρύ κρείων Ἀγαμέμνων/ἥν ἄτην ὅ τ ἄριστον Ἀχαιῶν οὐδέν ἔτισεν,2,iliad,16,273
14,2,ἐκ δ εὐνάς ἔβαλον κατά δέ πρυμνήσι ἔδησαν/ἐκ δέ καί αὐτοί βαῖνον ἐπί ῥηγμῖνι θαλάσσης,2,iliad,1,436
15,2,ἐκ δ εὐνάς ἔβαλον κατά δέ πρυμνήσι ἔδησαν/ἐκ δέ καί αὐτοί βαῖνον ἐπί ῥηγμῖνι θαλάσσης,2,odyssey,15,498
16,2,τίμησας μέν ἐμέ μέγα δ ἴψαο λαόν Ἀχαιῶν/ἠδ ἔτι καί νῦν μοι τόδ ἐπικρήηνον ἐέλδωρ,2,iliad,1,454
17,2,τίμησας μέν ἐμέ μέγα δ ἴψαο λαόν Ἀχαιῶν/ἠδ ἔτι καί νῦν μοι τόδ ἐπικρήηνον ἐέλδωρ,2,iliad,16,237
18,2,αὐτάρ ἐπεί ῥ εὔξαντο καί οὐλοχύτας προβάλοντο/αὐέρυσαν μέν πρῶτα καί ἔσφαξαν καί ἔδειραν,2,iliad,1,458
19,2,αὐτάρ ἐπεί ῥ εὔξαντο καί οὐλοχύτας προβάλοντο/αὐέρυσαν μέν πρῶτα καί ἔσφαξαν καί ἔδειραν,2,iliad,2,421
20,2,αὐέρυσαν μέν πρῶτα καί ἔσφαξαν καί ἔδειραν/μηρούς τ ἐξέταμον κατά τε κνίσῃ ἐκάλυψαν,2,iliad,1,459
21,2,αὐέρυσαν μέν πρῶτα καί ἔσφαξαν καί ἔδειραν/μηρούς τ ἐξέταμον κατά τε κνίσῃ ἐκάλυψαν,2,iliad,2,422
22,2,μηρούς τ ἐξέταμον κατά τε κνίσῃ ἐκάλυψαν/δίπτυχα ποιήσαντες ἐπ αὐτῶν δ ὠμοθέτησαν,3,iliad,1,460
23,2,μηρούς τ ἐξέταμον κατά τε κνίσῃ ἐκάλυψαν/δίπτυχα ποιήσαντες ἐπ αὐτῶν δ ὠμοθέτησαν,3,iliad,2,423
24,2,μηρούς τ ἐξέταμον κατά τε κνίσῃ ἐκάλυψαν/δίπτυχα ποιήσαντες ἐπ αὐτῶν δ ὠμοθέτησαν,3,odyssey,12,360
25,2,δίπτυχα ποιήσαντες ἐπ αὐτῶν δ ὠμοθέτησαν/καῖε δ ἐπί σχίζῃς ὁ γέρων ἐπί δ αἴθοπα οἶνον,2,iliad,1,461
26,2,δίπτυχα ποιήσαντες ἐπ αὐτῶν δ ὠμοθέτησαν/καῖε δ ἐπί σχίζῃς ὁ γέρων ἐπί δ αἴθοπα οἶνον,2,odyssey,3,458
27,2,καῖε δ ἐπί σχίζῃς ὁ γέρων ἐπί δ αἴθοπα οἶνον/λεῖβε νέοι δέ παρ αὐτόν ἔχον πεμπώβολα χερσίν,2,iliad,1,462
28,2,καῖε δ ἐπί σχίζῃς ὁ γέρων ἐπί δ αἴθοπα οἶνον/λεῖβε νέοι δέ παρ αὐτόν ἔχον πεμπώβολα χερσίν,2,odyssey,3,459
29,2,αὐτάρ ἐπεί κατά μῆρε κάη καί σπλάγχνα πάσαντο/μίστυλλόν τ ἄρα τἆλλα καί ἀμφ ὀβελοῖσιν ἔπειραν,2,iliad,1,464
30,2,αὐτάρ ἐπεί κατά μῆρε κάη καί σπλάγχνα πάσαντο/μίστυλλόν τ ἄρα τἆλλα καί ἀμφ ὀβελοῖσιν ἔπειραν,2,iliad,2,427
31,2,μίστυλλόν τ ἄρα τἆλλα καί ἀμφ ὀβελοῖσιν ἔπειραν/ὤπτησάν τε περιφραδέως ἐρύσαντό τε πάντα,3,iliad,1,465
32,2,μίστυλλόν τ ἄρα τἆλλα καί ἀμφ ὀβελοῖσιν ἔπειραν/ὤπτησάν τε περιφραδέως ἐρύσαντό τε πάντα,3,iliad,2,428
33,2,μίστυλλόν τ ἄρα τἆλλα καί ἀμφ ὀβελοῖσιν ἔπειραν/ὤπτησάν τε περιφραδέως ἐρύσαντό τε πάντα,3,odyssey,14,430
34,2,ὤπτησάν τε περιφραδέως ἐρύσαντό τε πάντα/αὐτάρ ἐπεί παύσαντο πόνου τετύκοντό τε δαῖτα,2,iliad,1,466
35,2,ὤπτησάν τε περιφραδέως ἐρύσαντό τε πάντα/αὐτάρ ἐπεί παύσαντο πόνου τετύκοντό τε δαῖτα,2,iliad,2,429
36,2,αὐτάρ ἐπεί παύσαντο πόνου τετύκοντό τε δαῖτα/δαίνυντ οὐδέ τι θυμός ἐδεύετο δαιτός ἐΐσης,3,iliad,1,467
37,2,αὐτάρ ἐπεί παύσαντο πόνου τετύκοντό τε δαῖτα/δαίνυντ οὐδέ τι θυμός ἐδεύετο δαιτός ἐΐσης,3,iliad,2,430
38,2,αὐτάρ ἐπεί παύσαντο πόνου τετύκοντό τε δαῖτα/δαίνυντ οὐδέ τι θυμός ἐδεύετο δαιτός ἐΐσης,3,iliad,7,319
39,2,δαίνυντ οὐδέ τι θυμός ἐδεύετο δαιτός ἐΐσης/αὐτάρ ἐπεί πόσιος καί ἐδητύος ἐξ ἔρον ἕντο,4,iliad,1,468
