,word,corpus,iliad,odyssey
0,μῆνιν,12,9,3
1,ἄειδε,10,3,7
2,θεά,134,74,60
3,Πηληϊάδεω,10,8,2
4,Ἀχιλῆος,32,28,4
5,οὐλομένην,3,2,1
6,ἥ,352,223,129
7,μυρί,6,2,4
8,Ἀχαιοῖς,10,10,0
9,ἄλγε,22,11,11
10,ἔθηκε,38,30,8
11,πολλάς,14,11,3
12,δ,6511,3717,2794
13,ἰφθίμους,3,2,1
14,ψυχάς,11,3,8
15,Ἄϊδι,7,7,0
16,προΐαψεν,1,1,0
17,ἡρώων,16,7,9
18,αὐτούς,41,24,17
19,δέ,4455,2748,1707
20,ἑλώρια,1,1,0
21,τεῦχε,5,2,3
22,κύνεσσιν,3,3,0
23,οἰωνοῖσί,1,1,0
24,τε,2650,1508,1142
25,πᾶσι,69,35,34
26,Διός,255,171,84
27,ἐτελείετο,2,1,1
28,βουλή,19,8,11
29,ἐξ,276,156,120
30,οὗ,45,24,21
31,δή,965,478,487
32,τά,306,148,158
33,πρῶτα,63,36,27
34,διαστήτην,2,2,0
35,ἐρίσαντε,1,1,0
36,Ἀτρεΐδης,77,66,11
37,ἄναξ,93,72,21
38,ἀνδρῶν,336,197,139
39,καί,5282,2849,2433
40,δῖος,188,91,97
41,Ἀχιλλεύς,173,171,2
42,τίς,201,86,115
43,τ,1103,614,489
44,ἄρ,640,367,273
45,σφωε,4,3,1
46,θεῶν,181,112,69
47,ἔριδι,7,7,0
48,ξυνέηκε,5,5,0
49,μάχεσθαι,105,97,8
50,Λητοῦς,3,3,0
51,υἱός,216,140,76
52,ὅ,910,750,160
53,γάρ,1400,765,635
54,βασιλῆϊ,12,7,5
55,χολωθείς,7,6,1
56,νοῦσον,2,1,1
57,ἀνά,138,71,67
58,στρατόν,47,46,1
59,ὄρσε,2,2,0
60,κακήν,10,7,3
61,ὀλέκοντο,1,1,0
62,λαοί,47,35,12
63,οὕνεκα,23,11,12
64,τόν,999,586,413
65,Χρύσην,6,6,0
66,ἠτίμασεν,1,1,0
67,ἀρητῆρα,1,1,0
68,ἦλθε,100,58,42
69,θοάς,17,16,1
70,ἐπί,841,452,389
71,νῆας,180,158,22
72,Ἀχαιῶν,375,320,55
73,λυσόμενός,2,2,0
74,θύγατρα,7,3,4
75,φέρων,56,25,31
76,ἀπερείσι,11,11,0
77,ἄποινα,26,26,0
78,στέμματ,2,2,0
79,ἔχων,89,58,31
80,ἐν,1417,797,620
81,χερσίν,121,71,50
82,ἑκηβόλου,2,2,0
83,Ἀπόλλωνος,17,12,5
84,χρυσέῳ,9,5,4
85,σκήπτρῳ,8,8,0
86,λίσσετο,3,2,1
87,πάντας,127,69,58
88,Ἀχαιούς,123,101,22
89,Ἀτρεΐδα,3,3,0
90,μάλιστα,90,50,40
91,δύω,92,63,29
92,κοσμήτορε,3,3,0
93,λαῶν,106,73,33
94,Ἀτρεΐδαι,3,3,0
95,ἄλλοι,176,109,67
96,ἐϋκνήμιδες,17,17,0
97,Ἀχαιοί,200,162,38
98,ὑμῖν,37,16,21
99,μέν,1880,1063,817
100,θεοί,200,96,104
101,δοῖεν,10,4,6
102,Ὀλύμπια,13,10,3
103,δώματ,52,16,36
104,ἔχοντες,53,32,21
