,text,book,line,meter,first_hemistich,second_hemistich
0,iliad,1,1,DDSDDA,μῆνιν ἄειδε θεὰ ,πηληϊάδεω ἀχιλῆος
1,iliad,1,2,DSDSDA,οὐλομένην ἣ μυρί ,ἀχαιοῖς ἄλγε ἔθηκε
2,iliad,1,3,SSSDDA,πολλὰς δ ἰφθίμους ,ψυχὰς ἄϊδι προΐαψεν
3,iliad,1,4,SSDDDA,ἡρώων αὐτοὺς ,δὲ ἑλώρια τεῦχε κύνεσσιν
4,iliad,1,5,SDDDDA,οἰωνοῖσί τε πᾶσι ,διὸς δ ἐτελείετο βουλή
5,iliad,1,6,SSDSDA,ἐξ οὗ δὴ τὰ πρῶτα ,διαστήτην ἐρίσαντε
6,iliad,1,7,DDSSDA,ἀτρεΐδης τε ἄναξ ,ἀνδρῶν καὶ δῖος ἀχιλλεύς
7,iliad,1,8,SDDDDA,τίς τ ἄρ σφωε θεῶν ,ἔριδι ξυνέηκε μάχεσθαι
8,iliad,1,9,SDDDDA,λητοῦς καὶ διὸς υἱός ,ὃ γὰρ βασιλῆϊ χολωθεὶς
9,iliad,1,10,DDDDDA,νοῦσον ἀνὰ στρατὸν ὄρσε ,κακήν ὀλέκοντο δὲ λαοί
10,iliad,1,11,DSSDSA,οὕνεκα τὸν χρύσην ,ἠτίμασεν ἀρητῆρα
11,iliad,1,12,DDDDDA,ἀτρεΐδης ὃ γὰρ ἦλθε ,θοὰς ἐπὶ νῆας ἀχαιῶν
12,iliad,1,13,DDDDDA,λυσόμενός τε θύγατρα ,φέρων τ ἀπερείσι ἄποινα
13,iliad,1,14,DSDDSA,στέμματ ἔχων ἐν χερσὶν ,ἑκηβόλου ἀπόλλωνος
14,iliad,1,15,DSSDDA,χρυσέῳ ἀνὰ σκήπτρῳ ,καὶ λίσσετο πάντας ἀχαιούς
15,iliad,1,16,DDDSDA,ἀτρεΐδα δὲ μάλιστα ,δύω κοσμήτορε λαῶν
16,iliad,1,17,DDDSDA,ἀτρεΐδαι τε καὶ ἄλλοι ,ἐϋκνήμιδες ἀχαιοί
17,iliad,1,18,SSDDDA,ὑμῖν μὲν θεοὶ δοῖεν ,ὀλύμπια δώματ ἔχοντες
18,iliad,1,19,SDDSDA,ἐκπέρσαι πριάμοιο ,πόλιν εὖ δ οἴκαδ ἱκέσθαι
19,iliad,1,20,DSDDDA,παῖδα δ ἐμοὶ λύσαιτε ,φίλην τὰ δ ἄποινα δέχεσθαι
20,iliad,1,21,DDDDSA,ἁζόμενοι διὸς υἱὸν ,ἑκηβόλον ἀπόλλωνα
21,iliad,1,22,SSDSDA,ἔνθ ἄλλοι μὲν πάντες ,ἐπευφήμησαν ἀχαιοὶ
22,iliad,1,23,SDDDDA,αἰδεῖσθαί θ ἱερῆα ,καὶ ἀγλαὰ δέχθαι ἄποινα
23,iliad,1,24,SDDDDA,ἀλλ οὐκ ἀτρεΐδῃ ,ἀγαμέμνονι ἥνδανε θυμῷ
24,iliad,1,25,DDDDDA,ἀλλὰ κακῶς ἀφίει ,κρατερὸν δ ἐπὶ μῦθον ἔτελλε
25,iliad,1,26,DSDDDA,μή σε γέρον κοίλῃσιν ,ἐγὼ παρὰ νηυσὶ κιχείω
26,iliad,1,27,SSSDDA,ἢ νῦν δηθύνοντ ,ἢ ὕστερον αὖτις ἰόντα
27,iliad,1,28,DSSSDA,μή νύ τοι οὐ χραίσμῃ ,σκῆπτρον καὶ στέμμα θεοῖο
28,iliad,1,29,DSSSDA,τὴν δ ἐγὼ οὐ λύσω ,πρίν μιν καὶ γῆρας ἔπεισιν
29,iliad,1,30,DDDDDA,ἡμετέρῳ ἐνὶ οἴκῳ ,ἐν ἄργεϊ τηλόθι πάτρης
30,iliad,1,31,DDDDDA,ἱστὸν ἐποιχομένην ,καὶ ἐμὸν λέχος ἀντιόωσαν
31,iliad,1,32,DDDDDA,ἀλλ ἴθι μή μ ἐρέθιζε ,σαώτερος ὥς κε νέηαι
32,iliad,1,33,DSDDDA,ὣς ἔφατ ἔδεισεν ,δ ὃ γέρων καὶ ἐπείθετο μύθῳ
33,iliad,1,34,DDDSDA,βῆ δ ἀκέων παρὰ θῖνα ,πολυφλοίσβοιο θαλάσσης
34,iliad,1,35,DDDSDA,πολλὰ δ ἔπειτ ἀπάνευθε ,κιὼν ἠρᾶθ ὃ γεραιὸς
35,iliad,1,36,SDDDDA,ἀπόλλωνι ἄνακτι ,τὸν ἠΰκομος τέκε λητώ
36,iliad,1,37,DDSSDA,κλῦθί μευ ἀργυρότοξ ,ὃς χρύσην ἀμφιβέβηκας
37,iliad,1,38,SDDDDA,κίλλάν τε ζαθέην ,τενέδοιό τε ἶφι ἀνάσσεις
38,iliad,1,39,SDDDDA,σμινθεῦ εἴ ποτέ τοι ,χαρίεντ ἐπὶ νηὸν ἔρεψα
39,iliad,1,40,SDDDDA,ἢ εἰ δή ποτέ τοι ,κατὰ πίονα μηρί ἔκηα
40,iliad,1,41,SSDSDA,ταύρων ἠδ αἰγῶν ,τὸ δέ μοι κρήηνον ἐέλδωρ
41,iliad,1,42,SDDDDA,τίσειαν δαναοὶ ,ἐμὰ δάκρυα σοῖσι βέλεσσιν
42,iliad,1,43,DDSDDA,ὣς ἔφατ εὐχόμενος ,τοῦ δ ἔκλυε φοῖβος ἀπόλλων
43,iliad,1,44,DSDSDA,βῆ δὲ κατ οὐλύμποιο ,καρήνων χωόμενος κῆρ
44,iliad,1,45,SDSDDA,τόξ ὤμοισιν ἔχων ,ἀμφηρεφέα τε φαρέτρην
45,iliad,1,46,SDDSDA,ἔκλαγξαν δ ἄρ ὀϊστοὶ ,ἐπ ὤμων χωομένοιο
46,iliad,1,47,SSDDDA,αὐτοῦ κινηθέντος ,ὃ δ ἤϊε νυκτὶ ἐοικώς
47,iliad,1,48,DDDDDA,ἕζετ ἔπειτ ἀπάνευθε ,νεῶν μετὰ δ ἰὸν ἕηκε
48,iliad,1,49,SSDDDA,δεινὴ δὲ κλαγγὴ ,γένετ ἀργυρέοιο βιοῖο
49,iliad,1,50,SSDDDA,οὐρῆας μὲν πρῶτον ,ἐπῴχετο καὶ κύνας ἀργούς
50,iliad,1,51,DSDDDA,αὐτὰρ ἔπειτ αὐτοῖσι ,βέλος ἐχεπευκὲς ἐφιεὶς
51,iliad,1,52,SDDSDA,βάλλ αἰεὶ δὲ πυραὶ ,νεκύων καίοντο θαμειαί
52,iliad,1,53,SDDDDA,ἐννῆμαρ μὲν ἀνὰ ,στρατὸν ᾤχετο κῆλα θεοῖο
53,iliad,1,54,DDDDDA,τῇ δεκάτῃ δ ἀγορὴν ,δὲ καλέσσατο λαὸν ἀχιλλεύς
54,iliad,1,55,DDDSDA,τῷ γὰρ ἐπὶ φρεσὶ θῆκε ,θεὰ λευκώλενος ἥρη
55,iliad,1,56,DDDSDA,κήδετο γὰρ δαναῶν ,ὅτι ῥα θνήσκοντας ὁρᾶτο
56,iliad,1,57,DSDDDA,οἳ δ ἐπεὶ οὖν ἤγερθεν ,ὁμηγερέες τε γένοντο
57,iliad,1,58,DDDDDA,τοῖσι δ ἀνιστάμενος ,μετέφη πόδας ὠκὺς ἀχιλλεύς
58,iliad,1,59,DSDSDA,ἀτρεΐδη νῦν ἄμμε ,παλιμπλαγχθέντας ὀΐω
59,iliad,1,60,DSSDDA,ἂψ ἀπονοστήσειν ,εἴ κεν θάνατόν γε φύγοιμεν
60,iliad,1,61,DDDSDA,εἰ δὴ ὁμοῦ πόλεμός ,τε δαμᾷ καὶ λοιμὸς ἀχαιούς
61,iliad,1,62,DDDDDA,ἀλλ ἄγε δή τινα μάντιν ,ἐρείομεν ἢ ἱερῆα
62,iliad,1,63,DDSDDA,ἢ καὶ ὀνειροπόλον ,καὶ γάρ τ ὄναρ ἐκ διός ἐστιν
63,iliad,1,64,SDDDDA,ὅς κ εἴποι ὅ τι τόσσον ,ἐχώσατο φοῖβος ἀπόλλων
64,iliad,1,65,DSDDDA,εἴτ ἄρ ὅ γ εὐχωλῆς ,ἐπιμέμφεται ἠδ ἑκατόμβης
65,iliad,1,66,SSSSDA,αἴ κέν πως ἀρνῶν ,κνίσης αἰγῶν τε τελείων
66,iliad,1,67,DDSDDA,βούλεται ἀντιάσας ,ἡμῖν ἀπὸ λοιγὸν ἀμῦναι
67,iliad,1,68,DSDDDA,ἤτοι ὅ γ ὣς εἰπὼν ,κατ ἄρ ἕζετο τοῖσι δ ἀνέστη
68,iliad,1,69,SDSDDA,κάλχας θεστορίδης ,οἰωνοπόλων ὄχ ἄριστος
69,iliad,1,70,SDDDDA,ὃς ᾔδη τά τ ἐόντα ,τά τ ἐσσόμενα πρό τ ἐόντα
70,iliad,1,71,SSDSDA,καὶ νήεσσ ἡγήσατ ,ἀχαιῶν ἴλιον εἴσω
71,iliad,1,72,DDSDDA,ἣν διὰ μαντοσύνην ,τήν οἱ πόρε φοῖβος ἀπόλλων
72,iliad,1,73,DDDDDA,ὅ σφιν ἐὺ φρονέων ,ἀγορήσατο καὶ μετέειπεν
73,iliad,1,74,DDDDSA,ὦ ἀχιλεῦ κέλεαί ,με διῒ φίλε μυθήσασθαι
74,iliad,1,75,DSDDDA,μῆνιν ἀπόλλωνος ,ἑκατηβελέταο ἄνακτος
75,iliad,1,76,DDDDDA,τοὶ γὰρ ἐγὼν ἐρέω ,σὺ δὲ σύνθεο καί μοι ὄμοσσον
76,iliad,1,77,SSDSDA,ἦ μέν μοι πρόφρων ,ἔπεσιν καὶ χερσὶν ἀρήξειν
77,iliad,1,78,DDDDDA,ἦ γὰρ ὀΐομαι ἄνδρα ,χολωσέμεν ὃς μέγα πάντων
78,iliad,1,79,SDSSDA,ἀργείων κρατέει ,καί οἱ πείθονται ἀχαιοί
79,iliad,1,80,SDDDDA,κρείσσων γὰρ βασιλεὺς ,ὅτε χώσεται ἀνδρὶ χέρηϊ
80,iliad,1,81,SDDSDA,εἴ περ γάρ τε χόλον ,γε καὶ αὐτῆμαρ καταπέψῃ
81,iliad,1,82,DDDDDA,ἀλλά τε καὶ μετόπισθεν ,ἔχει κότον ὄφρα τελέσσῃ
82,iliad,1,83,SDDDDA,ἐν στήθεσσιν ἑοῖσι ,σὺ δὲ φράσαι εἴ με σαώσεις
83,iliad,1,84,DDDDDA,τὸν δ ἀπαμειβόμενος ,προσέφη πόδας ὠκὺς ἀχιλλεύς
84,iliad,1,85,SDDDDA,‘θαρσήσας μάλα εἰπὲ ,θεοπρόπιον ὅ τι οἶσθα
85,iliad,1,86,DSDDDA,οὐ μὰ γὰρ ἀπόλλωνα ,διῒ φίλον ᾧ τε σὺ κάλχαν
86,iliad,1,87,DDSDDA,εὐχόμενος δαναοῖσι θεοπροπίας ,ἀναφαίνεις
87,iliad,1,88,DSDDDA,οὔ τις ἐμεῦ ζῶντος ,καὶ ἐπὶ χθονὶ δερκομένοιο
88,iliad,1,89,SDDSDA,σοὶ κοίλῃς παρὰ νηυσί ,βαρείας χεῖρας ἐποίσει
89,iliad,1,90,SDSDDA,συμπάντων δαναῶν ,οὐδ ἢν ἀγαμέμνονα εἴπῃς
90,iliad,1,91,SDDSDA,ὃς νῦν πολλὸν ἄριστος ,ἀχαιῶν εὔχεται εἶναι
91,iliad,1,92,DSDSDA,καὶ τότε δὴ θάρσησε ,καὶ ηὔδα μάντις ἀμύμων
92,iliad,1,93,DSDDDA,οὔ τ ἄρ ὅ γ εὐχωλῆς ,ἐπιμέμφεται οὐδ ἑκατόμβης
93,iliad,1,94,DSDSDA,ἀλλ ἕνεκ ἀρητῆρος ,ὃν ἠτίμησ ἀγαμέμνων
94,iliad,1,95,DDDDDA,οὐδ ἀπέλυσε θύγατρα ,καὶ οὐκ ἀπεδέξατ ἄποινα
95,iliad,1,96,DDDDDA,τοὔνεκ ἄρ ἄλγε ἔδωκεν ,ἑκηβόλος ἠδ ἔτι δώσει
96,iliad,1,97,DDDDDA,οὐδ ὅ γε πρὶν δαναοῖσιν ,ἀεικέα λοιγὸν ἀπώσει
97,iliad,1,98,DDDDDA,πρίν γ ἀπὸ πατρὶ φίλῳ ,δόμεναι ἑλικώπιδα κούρην
98,iliad,1,99,DDDDDA,ἀπριάτην ἀνάποινον ,ἄγειν θ ἱερὴν ἑκατόμβην
99,iliad,1,100,SDDDDA,ἐς χρύσην τότε κέν ,μιν ἱλασσάμενοι πεπίθοιμεν
100,iliad,1,101,DSDDDA,ἤτοι ὅ γ ὣς εἰπὼν ,κατ ἄρ ἕζετο τοῖσι δ ἀνέστη
101,iliad,1,102,SDSSDA,ἥρως ἀτρεΐδης ,εὐρὺ κρείων ἀγαμέμνων
102,iliad,1,103,DDDDDA,ἀχνύμενος μένεος ,δὲ μέγα φρένες ἀμφιμέλαιναι
103,iliad,1,104,SDDDDA,πίμπλαντ ὄσσε δέ οἱ ,πυρὶ λαμπετόωντι ἐΐκτην
