,text,book,line,string,meter,me
0,iliad,1,1,μῆνιν ἄειδε θεά Πηληϊάδεω Ἀχιλῆος,DDSDDA,0.13743632800049238
1,iliad,1,2,οὐλομένην ἥ μυρί Ἀχαιοῖς ἄλγε ἔθηκε,DSDSDA,0.09669129322108642
2,iliad,1,3,πολλάς δ ἰφθίμους ψυχάς Ἄϊδι προΐαψεν,SSSDDA,0.05018376140701151
3,iliad,1,4,ἡρώων αὐτούς δέ ἑλώρια τεῦχε κύνεσσιν,SSDDDA,0.04886931770880035
4,iliad,1,5,οἰωνοῖσί τε πᾶσι Διός δ ἐτελείετο βουλή,SDDDDA,0.043884254060514966
5,iliad,1,6,ἐξ οὗ δή τά πρῶτα διαστήτην ἐρίσαντε,SSDSDA,0.24643335621278997
6,iliad,1,7,Ἀτρεΐδης τε ἄναξ ἀνδρῶν καί δῖος Ἀχιλλεύς,DDSSDA,0.11402194781134725
7,iliad,1,8,τίς τ ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι,SDDDDA,0.11242231487308056
8,iliad,1,9,Λητοῦς καί Διός υἱός ὅ γάρ βασιλῆϊ χολωθείς,SDDDDA,0.04892617775265243
9,iliad,1,10,νοῦσον ἀνά στρατόν ὄρσε κακήν ὀλέκοντο δέ λαοί,DDDDDA,0.1676272655112077
10,iliad,1,11,οὕνεκα τόν Χρύσην ἠτίμασεν ἀρητῆρα,DSSDSA,0.08723278770737027
11,iliad,1,12,Ἀτρεΐδης ὅ γάρ ἦλθε θοάς ἐπί νῆας Ἀχαιῶν,DDDDDA,0.2778710123259148
12,iliad,1,13,λυσόμενός τε θύγατρα φέρων τ ἀπερείσι ἄποινα,DDDDDA,0.1440099426597006
13,iliad,1,14,στέμματ ἔχων ἐν χερσίν ἑκηβόλου Ἀπόλλωνος,DSDDSA,0.47075315790257255
14,iliad,1,15,χρυσέῳ ἀνά σκήπτρῳ καί λίσσετο πάντας Ἀχαιούς,DSSDDA,0.12403451448263149
15,iliad,1,16,Ἀτρεΐδα δέ μάλιστα δύω κοσμήτορε λαῶν,DDDSDA,0.17289096444763383
16,iliad,1,17,Ἀτρεΐδαι τε καί ἄλλοι ἐϋκνήμιδες Ἀχαιοί,DDDSDA,1.2237767697861268
17,iliad,1,18,ὑμῖν μέν θεοί δοῖεν Ὀλύμπια δώματ ἔχοντες,SSDDDA,0.09432372452458178
18,iliad,1,19,ἐκπέρσαι Πριάμοιο πόλιν εὖ δ οἴκαδ ἱκέσθαι,SDDSDA,0.0379208235805621
19,iliad,1,20,παῖδα δ ἐμοί λύσαιτε φίλην τά δ ἄποινα δέχεσθαι,DSDDDA,0.04161136473577802
20,iliad,1,21,ἁζόμενοι Διός υἱόν ἑκηβόλον Ἀπόλλωνα,DDDDSA,0.10403479890259346
21,iliad,1,22,ἔνθ ἄλλοι μέν πάντες ἐπευφήμησαν Ἀχαιοί,SSDSDA,0.37802879999249256
22,iliad,1,23,αἰδεῖσθαί θ ἱερῆα καί ἀγλαά δέχθαι ἄποινα,SDDDDA,0.20133542994497058
23,iliad,1,24,ἀλλ οὐκ Ἀτρεΐδῃ Ἀγαμέμνονι ἥνδανε θυμῷ,SDDDDA,0.3083416622960951
24,iliad,1,25,ἀλλά κακῶς ἀφίει κρατερόν δ ἐπί μῦθον ἔτελλε,DDDDDA,0.23824707324392463
25,iliad,1,26,μή σε γέρον κοίλῃσιν ἐγώ παρά νηυσί κιχείω,DSDDDA,0.15083236170311565
26,iliad,1,27,ἤ νῦν δηθύνοντ ἤ ὕστερον αὖτις ἰόντα,SSSDDA,0.02379966943858847
27,iliad,1,28,μή νύ τοι οὐ χραίσμῃ σκῆπτρον καί στέμμα θεοῖο,DSSSDA,0.06623861914392634
28,iliad,1,29,τήν δ ἐγώ οὐ λύσω πρίν μιν καί γῆρας ἔπεισιν,DSSSDA,0.0622919255004702
29,iliad,1,30,ἡμετέρῳ ἐνί οἴκῳ ἐν Ἄργεϊ τηλόθι πάτρης,DDDDDA,0.4392103726177323
30,iliad,1,31,ἱστόν ἐποιχομένην καί ἐμόν λέχος ἀντιόωσαν,DDDDDA,0.05784902315665774
31,iliad,1,32,ἀλλ ἴθι μή μ ἐρέθιζε σαώτερος ὥς κε νέηαι,DDDDDA,0.17675418828306558
32,iliad,1,33,ὥς ἔφατ ἔδεισεν δ ὅ γέρων καί ἐπείθετο μύθῳ,DSDDDA,0.4860700266272947
33,iliad,1,34,βῆ δ ἀκέων παρά θῖνα πολυφλοίσβοιο θαλάσσης,DDDSDA,0.2448785652987851
34,iliad,1,35,πολλά δ ἔπειτ ἀπάνευθε κιών ἠρᾶθ ὅ γεραιός,DDDSDA,0.24947958688771227
35,iliad,1,36,Ἀπόλλωνι ἄνακτι τόν ἠΰκομος τέκε Λητώ,SDDDDA,0.10535561894371477
36,iliad,1,37,κλῦθί μευ ἀργυρότοξ ὅς Χρύσην ἀμφιβέβηκας,DDSSDA,0.39279425229555043
37,iliad,1,38,Κίλλάν τε ζαθέην Τενέδοιό τε ἶφι ἀνάσσεις,SDDDDA,0.10763723591154897
38,iliad,1,39,Σμινθεῦ εἴ ποτέ τοι χαρίεντ ἐπί νηόν ἔρεψα,SDDDDA,0.08175493912467466
39,iliad,1,40,ἤ εἰ δή ποτέ τοι κατά πίονα μηρί ἔκηα,SDDDDA,0.10544183653730102
40,iliad,1,41,ταύρων ἠδ αἰγῶν τό δέ μοι κρήηνον ἐέλδωρ,SSDSDA,0.27435411026028433
41,iliad,1,42,τίσειαν Δαναοί ἐμά δάκρυα σοῖσι βέλεσσιν,SDDDDA,0.10252066729519486
42,iliad,1,43,ὥς ἔφατ εὐχόμενος τοῦ δ ἔκλυε Φοῖβος Ἀπόλλων,DDSDDA,3.2190616808512873
43,iliad,1,44,βῆ δέ κατ Οὐλύμποιο καρήνων χωόμενος κῆρ,DSDSDA,0.9532713873979447
44,iliad,1,45,τόξ ὤμοισιν ἔχων ἀμφηρεφέα τε φαρέτρην,SDSDDA,0.04583258611238345
45,iliad,1,46,ἔκλαγξαν δ ἄρ ὀϊστοί ἐπ ὤμων χωομένοιο,SDDSDA,0.08445173126715477
46,iliad,1,47,αὐτοῦ κινηθέντος ὅ δ ἤϊε νυκτί ἐοικώς,SSDDDA,0.12475139991300442
