Column1,text,book,line,string,foot1,foot2,foot3,foot4,foot5,foot6,me
6064,iliad,10,382,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
6105,iliad,10,423,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
6236,iliad,10,554,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
12081,iliad,19,154,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
12142,iliad,19,215,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
18934,odyssey,7,207,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
19029,odyssey,7,302,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
19226,odyssey,8,152,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
19486,odyssey,8,412,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
19661,odyssey,9,1,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
21153,odyssey,11,354,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
21176,odyssey,11,377,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
22523,odyssey,14,191,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
22722,odyssey,14,390,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
23245,odyssey,15,380,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
23622,odyssey,16,200,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
23918,odyssey,17,16,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
24094,odyssey,17,192,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
24255,odyssey,17,353,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
24632,odyssey,18,124,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
24873,odyssey,18,365,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
24977,odyssey,19,41,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
25766,odyssey,20,226,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
26473,odyssey,22,105,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
26538,odyssey,22,170,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
26997,odyssey,23,128,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
27542,odyssey,24,302,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
27570,odyssey,24,330,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
27596,odyssey,24,356,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
27646,odyssey,24,406,τὸν δ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς,D,D,D,D,D,A,39.72591593
16069,odyssey,1,388,τὸν δ αὖ Τηλέμαχος πεπνυμένος ἀντίον ηὔδα,S,D,S,D,D,A,29.86914278
16093,odyssey,1,412,τὸν δ αὖ Τηλέμαχος πεπνυμένος ἀντίον ηὔδα,S,D,S,D,D,A,29.86914278
16254,odyssey,2,129,τὸν δ αὖ Τηλέμαχος πεπνυμένος ἀντίον ηὔδα,S,D,S,D,D,A,29.86914278
16333,odyssey,2,208,τὸν δ αὖ Τηλέμαχος πεπνυμένος ἀντίον ηὔδα,S,D,S,D,D,A,29.86914278
16434,odyssey,2,309,τὸν δ αὖ Τηλέμαχος πεπνυμένος ἀντίον ηὔδα,S,D,S,D,D,A,29.86914278
16634,odyssey,3,75,τὸν δ αὖ Τηλέμαχος πεπνυμένος ἀντίον ηὔδα,S,D,S,D,D,A,29.86914278
16760,odyssey,3,201,τὸν δ αὖ Τηλέμαχος πεπνυμένος ἀντίον ηὔδα,S,D,S,D,D,A,29.86914278
16784,odyssey,3,225,τὸν δ αὖ Τηλέμαχος πεπνυμένος ἀντίον ηὔδα,S,D,S,D,D,A,29.86914278
17346,odyssey,4,290,τὸν δ αὖ Τηλέμαχος πεπνυμένος ἀντίον ηὔδα,S,D,S,D,D,A,29.86914278
17371,odyssey,4,315,τὸν δ αὖ Τηλέμαχος πεπνυμένος ἀντίον ηὔδα,S,D,S,D,D,A,29.86914278
