,text,book,line,string,me,num_proper_nouns,total_words,meter
0,iliad,1,1,μῆνιν ἄειδε θεά Πηληϊάδεω Ἀχιλῆος,0.1374363280004923,2,5,DDSDDA
1,iliad,1,2,οὐλομένην ἥ μυρί Ἀχαιοῖς ἄλγε ἔθηκε,0.0966912932210864,1,6,DSDSDA
2,iliad,1,3,πολλάς δ ἰφθίμους ψυχάς Ἄϊδι προΐαψεν,0.0501837614070115,1,6,SSSDDA
3,iliad,1,5,οἰωνοῖσί τε πᾶσι Διός δ ἐτελείετο βουλή,0.0438842540605149,1,7,SDDDDA
4,iliad,1,7,Ἀτρεΐδης τε ἄναξ ἀνδρῶν καί δῖος Ἀχιλλεύς,0.1140219478113472,2,7,DDSSDA
5,iliad,1,9,Λητοῦς καί Διός υἱός ὅ γάρ βασιλῆϊ χολωθείς,0.0489261777526524,2,8,SDDDDA
6,iliad,1,11,οὕνεκα τόν Χρύσην ἠτίμασεν ἀρητῆρα,0.0872327877073702,1,5,DSSDSA
7,iliad,1,12,Ἀτρεΐδης ὅ γάρ ἦλθε θοάς ἐπί νῆας Ἀχαιῶν,0.2778710123259148,2,8,DDDDDA
8,iliad,1,14,στέμματ ἔχων ἐν χερσίν ἑκηβόλου Ἀπόλλωνος,0.4707531579025725,1,6,DSDDSA
9,iliad,1,15,χρυσέῳ ἀνά σκήπτρῳ καί λίσσετο πάντας Ἀχαιούς,0.1240345144826314,1,7,DSSDDA
10,iliad,1,16,Ἀτρεΐδα δέ μάλιστα δύω κοσμήτορε λαῶν,0.1728909644476338,1,6,DDDSDA
11,iliad,1,17,Ἀτρεΐδαι τε καί ἄλλοι ἐϋκνήμιδες Ἀχαιοί,1.2237767697861268,2,6,DDDSDA
12,iliad,1,18,ὑμῖν μέν θεοί δοῖεν Ὀλύμπια δώματ ἔχοντες,0.0943237245245817,1,7,SSDDDA
13,iliad,1,19,ἐκπέρσαι Πριάμοιο πόλιν εὖ δ οἴκαδ ἱκέσθαι,0.0379208235805621,1,7,SDDSDA
14,iliad,1,21,ἁζόμενοι Διός υἱόν ἑκηβόλον Ἀπόλλωνα,0.1040347989025934,2,5,DDDDSA
15,iliad,1,22,ἔνθ ἄλλοι μέν πάντες ἐπευφήμησαν Ἀχαιοί,0.3780287999924925,1,6,SSDSDA
16,iliad,1,24,ἀλλ οὐκ Ἀτρεΐδῃ Ἀγαμέμνονι ἥνδανε θυμῷ,0.3083416622960951,2,6,SDDDDA
17,iliad,1,30,ἡμετέρῳ ἐνί οἴκῳ ἐν Ἄργεϊ τηλόθι πάτρης,0.4392103726177323,1,7,DDDDDA
18,iliad,1,36,Ἀπόλλωνι ἄνακτι τόν ἠΰκομος τέκε Λητώ,0.1053556189437147,2,6,SDDDDA
19,iliad,1,37,κλῦθί μευ ἀργυρότοξ ὅς Χρύσην ἀμφιβέβηκας,0.3927942522955504,1,6,DDSSDA
20,iliad,1,38,Κίλλάν τε ζαθέην Τενέδοιό τε ἶφι ἀνάσσεις,0.1076372359115489,2,7,SDDDDA
21,iliad,1,39,Σμινθεῦ εἴ ποτέ τοι χαρίεντ ἐπί νηόν ἔρεψα,0.0817549391246746,1,8,SDDDDA
22,iliad,1,42,τίσειαν Δαναοί ἐμά δάκρυα σοῖσι βέλεσσιν,0.1025206672951948,1,6,SDDDDA
23,iliad,1,43,ὥς ἔφατ εὐχόμενος τοῦ δ ἔκλυε Φοῖβος Ἀπόλλων,3.2190616808512877,2,8,DDSDDA
24,iliad,1,44,βῆ δέ κατ Οὐλύμποιο καρήνων χωόμενος κῆρ,0.9532713873979448,1,7,DSDSDA
25,iliad,1,54,τῇ δεκάτῃ δ ἀγορήν δέ καλέσσατο λαόν Ἀχιλλεύς,0.0422078837196671,1,8,DDDDDA
26,iliad,1,55,τῷ γάρ ἐπί φρεσί θῆκε θεά λευκώλενος Ἥρη,0.4200400015345574,1,8,DDDSDA
27,iliad,1,56,κήδετο γάρ Δαναῶν ὅτι ῥα θνήσκοντας ὁρᾶτο,0.0331282467453505,1,7,DDDSDA
28,iliad,1,58,τοῖσι δ ἀνιστάμενος μετέφη πόδας ὠκύς Ἀχιλλεύς,1.1636816297849002,1,7,DDDDDA
29,iliad,1,59,Ἀτρεΐδη νῦν ἄμμε παλιμπλαγχθέντας ὀΐω,0.09748791697271,1,5,DSDSDA
30,iliad,1,61,εἰ δή ὁμοῦ πόλεμός τε δαμᾷ καί λοιμός Ἀχαιούς,0.0518073641728085,1,9,DDDSDA
31,iliad,1,63,ἤ καί ὀνειροπόλον καί γάρ τ ὄναρ ἐκ Διός ἐστιν,0.0606151286961049,1,10,DDSDDA
32,iliad,1,64,ὅς κ εἴποι ὅ τι τόσσον ἐχώσατο Φοῖβος Ἀπόλλων,0.125119799503784,2,9,SDDDDA
33,iliad,1,69,Κάλχας Θεστορίδης οἰωνοπόλων ὄχ ἄριστος,0.8891142984871273,2,5,SDSDDA
34,iliad,1,71,καί νήεσσ ἡγήσατ Ἀχαιῶν Ἴλιον εἴσω,0.0696302351503848,2,6,SSDSDA
35,iliad,1,72,ἥν διά μαντοσύνην τήν οἱ πόρε Φοῖβος Ἀπόλλων,0.1870964123596744,2,8,DDSDDA
36,iliad,1,74,ὦ Ἀχιλεῦ κέλεαί με Διΐ φίλε μυθήσασθαι,0.129978067604306,2,7,DDDDSA
37,iliad,1,75,μῆνιν Ἀπόλλωνος ἑκατηβελέταο ἄνακτος,0.1485822739996239,1,4,DSDDDA
38,iliad,1,79,Ἀργείων κρατέει καί οἱ πείθονται Ἀχαιοί,0.092635398688445,2,6,SDSSDA
39,iliad,1,84,τόν δ ἀπαμειβόμενος προσέφη πόδας ὠκύς Ἀχιλλεύς,21.812519967661714,1,7,DDDDDA
40,iliad,1,86,οὐ μά γάρ Ἀπόλλωνα Διΐ φίλον ᾧ τε σύ Κάλχαν,0.0312999033308177,3,10,DSDDDA
41,iliad,1,87,εὐχόμενος Δαναοῖσι θεοπροπίας ἀναφαίνεις,0.1344541703536465,1,4,DDSDDA
42,iliad,1,90,συμπάντων Δαναῶν οὐδ ἤν Ἀγαμέμνονα εἴπῃς,0.0584657621204921,2,6,SDSDDA
43,iliad,1,91,ὅς νῦν πολλόν ἄριστος Ἀχαιῶν εὔχεται εἶναι,0.1307347964373343,1,7,SDDSDA
44,iliad,1,94,ἀλλ ἕνεκ ἀρητῆρος ὅν ἠτίμησ Ἀγαμέμνων,0.0817753134483276,1,6,DSDSDA
45,iliad,1,97,οὐδ ὅ γε πρίν Δαναοῖσιν ἀεικέα λοιγόν ἀπώσει,0.165038536834817,1,8,DDDDDA
46,iliad,1,100,ἐς Χρύσην τότε κέν μιν ἱλασσάμενοι πεπίθοιμεν,0.1063464761128099,1,7,SDDDDA
47,iliad,1,102,ἥρως Ἀτρεΐδης εὐρύ κρείων Ἀγαμέμνων,3.187495963449566,2,5,SDSSDA
48,iliad,1,105,Κάλχαντα πρώτιστα κάκ ὀσσόμενος προσέειπε,0.1245394756092821,1,5,SSDDDA
49,iliad,1,109,καί νῦν ἐν Δαναοῖσι θεοπροπέων ἀγορεύεις,0.0623669494312151,1,6,SDSDDA
50,iliad,1,111,οὕνεκ ἐγώ κούρης Χρυσηΐδος ἀγλά ἄποινα,0.1321802762230321,1,6,DSSDDA
51,iliad,1,113,οἴκοι ἔχειν καί γάρ ῥα Κλυταιμνήστρης προβέβουλα,0.16673568156269,1,7,NNNNNN
52,iliad,1,119,Ἀργείων ἀγέραστος ἔω ἐπεί οὐδέ ἔοικε,0.1542640163868223,1,6,SDDDDA
53,iliad,1,121,τόν δ ἠμείβετ ἔπειτα ποδάρκης δῖος Ἀχιλλεύς,7.091386362504574,1,7,SDDSDA
54,iliad,1,122,Ἀτρεΐδη κύδιστε φιλοκτεανώτατε πάντων,0.5036733640373917,1,4,DSDDDA
55,iliad,1,123,πῶς γάρ τοι δώσουσι γέρας μεγάθυμοι Ἀχαιοί,0.2357123357744501,1,7,SSDDDA
56,iliad,1,127,ἀλλά σύ μέν νῦν τήνδε θεῷ πρόες αὐτάρ Ἀχαιοί,0.2466295177656262,1,9,DSDDDA
57,iliad,1,128,τριπλῇ τετραπλῇ τ ἀποτείσομεν αἴ κέ ποθι Ζεύς,0.3617818106469005,1,8,SSDDDA
58,iliad,1,129,δῷσι πόλιν Τροίην εὐτείχεον ἐξαλαπάξαι,0.1774088224693164,1,5,DSSDDA
59,iliad,1,130,τόν δ ἀπαμειβόμενος προσέφη κρείων Ἀγαμέμνων,17.41967557449457,1,6,DDDSDA
60,iliad,1,131,μή δ οὕτως ἀγαθός περ ἐών θεοείκελ Ἀχιλλεῦ,0.1836166754989045,1,8,SDDDDA
61,iliad,1,135,ἀλλ εἰ μέν δώσουσι γέρας μεγάθυμοι Ἀχαιοί,0.1950230448466373,1,7,SSDDDA
62,iliad,1,138,ἤ τεόν ἤ Αἴαντος ἰών γέρας ἤ Ὀδυσῆος,0.0118180257443602,2,8,DSDDDA
63,iliad,1,143,θείομεν ἄν δ αὐτήν Χρυσηΐδα καλλιπάρῃον,0.1531237274910005,1,6,DSSDDA
64,iliad,1,145,ἤ Αἴας ἤ Ἰδομενεύς ἤ δῖος Ὀδυσσεύς,0.0292776156219083,3,7,SSDSDA
65,iliad,1,146,ἠέ σύ Πηλεΐδη πάντων ἐκπαγλότατ ἀνδρῶν,0.1662258743961291,1,6,DDSSDA
66,iliad,1,148,τόν δ ἄρ ὑπόδρα ἰδών προσέφη πόδας ὠκύς Ἀχιλλεύς,12.192672834139236,1,9,DDDDDA
67,iliad,1,150,πῶς τίς τοι πρόφρων ἔπεσιν πείθηται Ἀχαιῶν,0.1295967916235603,1,7,SSDSDA
68,iliad,1,152,οὐ γάρ ἐγώ Τρώων ἕνεκ ἤλυθον αἰχμητάων,0.2008247901952392,1,7,DSDDSA
69,iliad,1,155,οὐδέ ποτ ἐν Φθίῃ ἐριβώλακι βωτιανείρῃ,0.1724239064003122,1,6,DSDDDA
70,iliad,1,159,τιμήν ἀρνύμενοι Μενελάῳ σοί τε κυνῶπα,0.0738433473167562,1,6,SDDSDA
71,iliad,1,160,πρός Τρώων τῶν οὔ τι μετατρέπῃ οὐδ ἀλεγίζεις,0.1389886565262614,1,8,SSDDDA
72,iliad,1,162,ᾧ ἔπι πολλά μόγησα δόσαν δέ μοι υἷες Ἀχαιῶν,0.1458182901622398,1,9,DDDDDA
73,iliad,1,163,οὐ μέν σοί ποτε ἶσον ἔχω γέρας ὁππότ Ἀχαιοί,0.0830088936595968,1,9,SDDDDA
